CGID,Street,Hundred Block,Length (Ft),Width (Ft),Area (yds2),SurfType,Class,% Curbed,Original PCI,Est 2012 PCI
537,RANDY DR,1500,140,30,466.6666667,AC,LOC,100,33.8,26.42
1895,RAYNA DR,1800,719,30,2396.666667,AC,LOC,100,89,80.41
1707,RED OAK LN,800,687,35,2671.666667,AC,COL,100,86.85,74.07
2602,RED OAK LN,700,1577,35,6132.777778,AC,COL,100,90.3,81.57
3033,REDBUD LN,0,659,30,2196.666667,PC,LOC,100,77.5,67.62
3047,REDBUD LN,0,321,30,1070,PC,LOC,100,75.3,65.42
2703,REMINGTON CR,1600,540,30,1800,AC,LOC,100,86.9,75.75
2704,REMINGTON CR,1700,984,30,3280,AC,LOC,100,88.2,78.33
2705,REMINGTON CR,1600,868,30,2893.333333,AC,LOC,100,91.6,85.57
2706,REMINGTON CR,1700,876,30,2920,AC,LOC,100,90.1,84.07
601,RENTZ PLACE CIR,200,1128,30,3760,AC,LOC,91.4,88.3,79.71
594,RENTZ ST,300,937,30,3123.333333,AC,LOC,48.3,20.5,87.1
602,RENTZ ST,0,293,30,976.6666667,AC,LOC,100,17.5,87.1
603,RENTZ ST,200,360,30,1200,AC,LOC,46.4,18,87.1
605,RENTZ ST,100,150,30,500,AC,LOC,100,14.4,87.1
797,RENTZ ST,0,403,30,1343.333333,AC,LOC,100,27.8,87.1
1241,RENTZ ST,100,261,30,870,AC,LOC,100,85.3,71.59
1242,RENTZ ST,200,100,30,333.3333333,AC,LOC,100,88.6,80.01
1243,RENTZ ST,200,717,30,2390,PC,LOC,100,61.7,55.03
1244,RENTZ ST,300,312,30,1040,PC,LOC,100,62,55.33
1245,RENTZ ST,400,250,30,833.3333333,AC,LOC,100,62,49.68
1246,RENTZ ST,400,151,30,503.3333333,AC,LOC,100,81.1,66.86
1623,RICKEY LN,0,1837,30,6123.333333,AC,LOC,40.8,65.6,53.16
1749,RID0GECREST DR,2100,292,30,973.3333333,AC,LOC,100,87.5,77.63
2212,RIDGE HOLLOW TR,200,598,30,1993.333333,AC,LOC,100,94.3,88.27
2213,RIDGE HOLLOW TR,200,440,30,1466.666667,AC,LOC,100,94.8,88.77
573,RIDGE RD,0,305,30,1016.666667,AC,LOC,100,15,7.62
574,RIDGE RD,200,313,30,1043.333333,AC,LOC,100,21.8,14.42
577,RIDGE RD,100,322,30,1073.333333,AC,LOC,100,24.8,17.42
1751,RIDGECREST DR,2100,321,30,1070,AC,LOC,100,85.9,73.47
322,RIDGEWAY BLVD,100,273,35,1061.666667,AC,COL,0,56.9,42.33
323,RIDGEWAY BLVD,200,349,35,1357.222222,AC,COL,0,75.4,59.82
324,RIDGEWAY BLVD,300,485,35,1886.111111,AC,COL,0,56,41.43
325,RIDGEWAY BLVD,300,427,35,1660.555556,AC,COL,0,79.5,63.46
488,RIDGEWAY BLVD,500,425,35,1652.777778,AC,COL,100,89.5,79.42
489,RIDGEWAY BLVD,0,135,35,525,AC,COL,100,93.7,86.32
491,RIDGEWAY BLVD,800,290,35,1127.777778,AC,COL,100,94,86.62
492,RIDGEWAY BLVD,700,318,35,1236.666667,AC,COL,100,91,82.27
494,RIDGEWAY BLVD,300,267,35,1038.333333,AC,COL,100,79,62.96
3105,RIDGEWAY BLVD,400,323,35,1256.111111,AC,COL,100,89.7,79.62
1585,RIO CT,100,160,30,533.3333333,AC,LOC,100,83.5,69.26
2275,RIVERWOOD DR,2200,404,30,1346.666667,AC,LOC,100,89.8,82.49
2893,ROADRUNNER DR,0,187,30,623.3333333,AC,LOC,100,80.3,66.06
2894,ROADRUNNER DR,0,946,30,3153.333333,AC,LOC,84.5,94,87.97
1414,ROBERTS BEND,1600,350,30,1166.666667,AC,LOC,100,73.7,60.06
1416,ROBERTS BEND,1600,402,30,1340,AC,LOC,100,77.3,63.06
1417,ROBERTS BEND,1600,288,30,960,AC,LOC,100,83.8,69.56
1421,ROBERTS BEND,1700,542,30,1806.666667,AC,LOC,100,85.7,73.27
561,ROBIN AVE,100,448,30,1493.333333,AC,LOC,100,19.2,15.67
1267,RONA ST,1300,427,30,1423.333333,AC,LOC,100,46.2,36.19
1333,ROO RD,0,317,30,1056.666667,AC,LOC,0,43.7,34.85
1334,ROO RD,0,868,30,2893.333333,AC,LOC,100,33.8,26.42
1263,ROSELAWN ST,0,64,30,213.3333333,AC,LOC,100,23.65,16.27
1264,ROSELAWN ST,100,395,30,1316.666667,AC,LOC,100,40.85,32.38
1265,ROSELAWN ST,100,96,30,320,AC,LOC,100,14.5,7.12
1266,ROSELAWN ST,200,362,30,1206.666667,AC,LOC,100,49.3,37.75
1261,RUSK ST,1300,319,30,1063.333333,AC,LOC,100,12.4,5.02
1371,RUSK ST,200,357,30,1190,AC,LOC,100,21.9,14.52
1372,RUSK ST,300,393,30,1310,AC,LOC,100,25.7,18.32
1373,RUSK ST,300,242,30,806.6666667,AC,LOC,100,14.4,7.02
1374,RUSK ST,400,404,30,1346.666667,AC,LOC,100,21.5,14.12
1375,RUSK ST,500,476,30,1586.666667,AC,LOC,100,18.9,11.52
1443,RUSK ST,300,576,30,1920,AC,LOC,100,26.2,18.82
1491,RUSK ST,400,333,30,1110,AC,LOC,100,25.8,18.42
1493,RUSK ST,500,550,35,2138.888889,AC,COL,24.3,48.6,36.07
1494,RUSK ST,600,379,35,1473.888889,AC,COL,0,48.1,35.57
1522,RUSK ST,800,231,35,898.3333333,AC,COL,75,66.5,51.61
1523,RUSK ST,900,496,35,1928.888889,AC,COL,47.6,52,38.45
1529,RUSK ST,700,429,35,1668.333333,AC,COL,49.8,51.5,37.95
1786,RUSK ST,0,400,30,1333.333333,AC,LOC,95.2,7,0
1787,RUSK ST,0,292,30,973.3333333,AC,LOC,68.8,9.6,2.22
1819,RUSK ST,1000,486,35,1890,AC,COL,10.4,38.1,30.08
1820,RUSK ST,1100,445,35,1730.555556,AC,COL,98,35.9,27.88
1821,RUSK ST,1200,540,35,2100,AC,COL,34.5,42.1,32.63
1822,RUSK ST,1300,463,35,1800.555556,AC,COL,73.3,83.5,67.46
1823,RUSK ST,1400,474,35,1843.333333,AC,COL,41.7,91.9,84.52
2152,RUSK ST,1700,384,30,1280,AC,LOC,0,78.4,64.16
3364,RUSK ST,1100,577,30,1923.333333,AC,LOC,100,79.9,65.66
393,RUSSELL ST,100,560,40,2488.888889,AC,ART,80.7,43.1,81.35
607,RUSSELL ST,200,351,40,1560,AC,ART,100,44.6,81.35
608,RUSSELL ST,300,626,40,2782.222222,AC,ART,100,60,81.35
610,RUSSELL ST,0,2299,40,10217.77778,AC,ART,100,89.3,74.19
2996,RUSSELL ST,400,282,40,1253.333333,AC,ART,100,53,81.35
2997,RUSSELL ST,400,175,40,777.7777778,AC,ART,100,63.1,81.35
2252,RUSTIC HARBOR CT,200,402,25,1116.666667,AC,RUR,0,55.4,43.08
2904,SADDLE RIDGE TR,0,198,30,660,PC,LOC,100,77.8,67.92
2905,SADDLE RIDGE TR,0,167,30,556.6666667,PC,LOC,100,87.8,81.72
2907,SADDLE RIDGE TR,0,1385,30,4616.666667,PC,LOC,100,93.1,88.74
2908,SADDLE RIDGE TR,0,328,30,1093.333333,PC,LOC,100,79.8,69.92
2909,SAGE BRUSH DR,0,187,30,623.3333333,PC,LOC,100,85.1,75.58
2911,SAGE BRUSH DR,0,1143,30,3810,PC,LOC,100,86.7,79.76
1750,SAGEWOOD DR,0,321,30,1070,AC,LOC,100,86.7,75.55
1754,SAGEWOOD DR,2100,541,30,1803.333333,AC,LOC,100,90.7,84.67
1755,SAGEWOOD DR,2100,273,30,910,AC,LOC,100,90.7,84.67
3325,SALADO TR,0,978,30,3260,PC,LOC,100,74.3,64.42
3326,SALADO TR,0,471,30,1570,PC,LOC,100,75.7,65.82
3334,SALADO TR,0,290,30,966.6666667,PC,LOC,100,67.6,59.72
3336,SALADO TR,0,681,30,2270,PC,LOC,100,71.9,62.52
2891,SANDPIPER DR,0,190,30,633.3333333,AC,LOC,100,91.3,85.27
2892,SANDPIPER DR,0,969,30,3230,AC,LOC,100,92.5,86.47
1393,SANTA FE DR,100,696,40,3093.333333,AC,ART,0,91.2,77.92
1437,SANTA FE DR,100,309,40,1373.333333,AC,ART,100,39.9,29.18
2978,SANTA FE DR,0,280,40,1244.444444,AC,ART,0,96.3,86.68
2979,SANTA FE DR,0,2214,40,9840,AC,ART,0,95,85.38
2037,SCOTTS MEADOW CT,2300,287,30,956.6666667,AC,LOC,100,92.5,86.47
2038,SCOTTS MEADOW CT,2400,774,30,2580,AC,LOC,100,80.8,66.56
436,SECOND ST,100,514,30,1713.333333,AC,LOC,100,0,86.9
444,SECOND ST,200,517,30,1723.333333,AC,LOC,0,10.3,86.9
445,SECOND ST,300,680,30,2266.666667,AC,LOC,100,10.5,86.9
1880,SECOND ST,700,466,30,1553.333333,AC,LOC,42.9,48.1,37.32
1889,SECOND ST,200,497,30,1656.666667,AC,LOC,100,2.3,0
1890,SECOND ST,300,431,30,1436.666667,AC,LOC,100,43.9,34.66
1894,SECOND ST,100,604,30,2013.333333,AC,LOC,100,0,0
2962,SECOND ST,800,476,30,1586.666667,AC,LOC,100,37.8,30.42
2963,SECOND ST,900,189,30,630,AC,LOC,100,37.1,29.72
2910,SERENITY LN,0,1094,30,3646.666667,PC,LOC,100,69.7,61.32
3331,SERENITY LN,0,326,30,1086.666667,PC,LOC,100,62.1,55.43
3332,SERENITY LN,0,153,30,510,PC,LOC,100,61.7,55.03
3327,SETTLERS LN,0,186,30,620,PC,LOC,100,67.1,59.72
431,SEVENTH ST,100,512,35,1991.111111,AC,COL,38.5,77.8,61.99
452,SEVENTH ST,200,527,35,2049.444444,AC,COL,0,76.1,60.29
455,SEVENTH ST,300,435,35,1691.666667,AC,COL,100,75.1,59.52
457,SEVENTH ST,300,247,35,960.5555556,AC,COL,100,76.1,60.29
468,SEVENTH ST,500,1228,35,4775.555556,AC,COL,0,75.2,59.62
477,SEVENTH ST,400,585,35,2275,AC,COL,58.4,79.8,63.76
1842,SEVENTH ST,200,609,35,2368.333333,AC,COL,100,78.1,62.29
2609,SEVENTH ST,100,513,35,1995,AC,COL,57.3,75.6,60.02
655,SHADOW RUN ST,1400,816,30,2720,AC,LOC,100,83,68.76
656,SHADOW RUN ST,1500,733,30,2443.333333,AC,LOC,100,90.4,84.37
1702,SHADY VALLEY CR,100,215,30,716.6666667,AC,LOC,100,80.5,66.26
2226,SHADY WOOD CT,100,249,30,830,AC,LOC,100,85.2,71.49
145,SHANNON DR,400,450,30,1500,AC,LOC,77.3,71.5,58.16
606,SHERRY CT,100,668,30,2226.666667,AC,LOC,100,25.2,17.82
1933,SHERRY TR,300,604,25,1677.777778,AC,RUR,0,93.1,87.07
1935,SHERRY TR,200,1520,25,4222.222222,AC,RUR,0,91.6,85.57
1936,SHERRY TR,300,393,25,1091.666667,AC,RUR,0,88.5,79.91
2107,SHIRLEY CR,200,533,30,1776.666667,AC,LOC,72.4,72.7,59.06
2108,SHIRLEY CR,200,561,30,1870,AC,LOC,66.2,73.9,60.26
2899,SILVERSTONE DR,0,309,30,1030,PC,LOC,100,82.6,72.72
2900,SILVERSTONE DR,0,622,30,2073.333333,PC,LOC,100,71.6,62.72
2903,SILVERSTONE DR,0,813,30,2710,PC,LOC,98.5,87.5,81.42
2914,SILVERSTONE DR,0,835,30,2783.333333,PC,LOC,100,86.5,78.7
3321,SILVERSTONE DR,0,165,30,550,PC,LOC,100,87.2,80.26
3322,SILVERSTONE DR,0,161,30,536.6666667,PC,LOC,100,79.2,69.32
3323,SILVERSTONE DR,0,250,30,833.3333333,PC,LOC,100,83.9,74.02
191,SIMMONS ST,200,351,30,1170,AC,LOC,100,87.3,77.43
192,SIMMONS ST,300,351,30,1170,AC,LOC,100,84,69.76
193,SIMMONS ST,300,281,30,936.6666667,AC,LOC,100,82.5,68.26
194,SIMMONS ST,400,448,30,1493.333333,AC,LOC,100,73.1,59.46
195,SIMMONS ST,500,450,30,1500,AC,LOC,100,74,60.36
196,SIMMONS ST,600,338,30,1126.666667,AC,LOC,100,57.4,45.08
310,SIMMONS ST,100,569,30,1896.666667,AC,LOC,100,63.7,51.38
351,SIMMONS ST,600,246,30,820,AC,LOC,100,44.1,34.86
352,SIMMONS ST,700,315,30,1050,AC,LOC,100,55,42.68
1355,SIMMONS ST,400,699,30,2330,AC,LOC,71.3,30.6,23.22
1363,SIMMONS ST,100,570,30,1900,AC,LOC,100,32.8,25.42
1364,SIMMONS ST,200,187,30,623.3333333,AC,LOC,100,37,29.62
1365,SIMMONS ST,200,368,30,1226.666667,AC,LOC,100,38.6,31.22
432,SIXTH ST,100,515,30,1716.666667,AC,LOC,94.3,30.1,97.77
447,SIXTH ST,200,527,30,1756.666667,AC,LOC,100,65,97.77
451,SIXTH ST,300,430,30,1433.333333,AC,LOC,100,13.1,5.72
473,SIXTH ST,300,227,30,756.6666667,AC,LOC,100,0,0
474,SIXTH ST,400,170,30,566.6666667,AC,LOC,100,19.6,12.22
1843,SIXTH ST,100,102,35,396.6666667,AC,COL,100,4.5,96.39
1844,SIXTH ST,200,478,30,1593.333333,AC,LOC,100,19.6,96.67
1845,SIXTH ST,300,493,30,1643.333333,AC,LOC,100,25.5,96.07
1846,SIXTH ST,400,461,30,1536.666667,AC,LOC,100,31.1,96.97
2610,SIXTH ST,100,511,30,1703.333333,AC,LOC,100,4.7,96.67
1210,SLOAN ST,1400,508,30,1693.333333,AC,LOC,100,3.3,0
1247,SLOAN ST,1300,417,30,1390,PC,LOC,100,37.9,32.38
1248,SLOAN ST,1200,180,30,600,PC,LOC,100,76.7,66.82
1249,SLOAN ST,200,364,30,1213.333333,AC,LOC,100,29.9,22.52
1339,SLOAN ST,0,120,30,400,AC,LOC,100,58.2,45.88
1345,SLOAN ST,0,785,30,2616.666667,AC,LOC,100,50.4,38.85
1402,SLOAN ST,500,264,30,880,AC,LOC,100,50.5,38.18
1403,SLOAN ST,600,282,30,940,AC,LOC,100,60.6,48.28
1404,SLOAN ST,700,259,30,863.3333333,AC,LOC,66.7,61.8,49.48
1784,SLOAN ST,0,384,30,1280,AC,LOC,0,69.2,56.16
3333,SMOKE SIGNAL LN,0,153,30,510,PC,LOC,100,64,57.33
3074,SOAPBERRY DR,800,299,30,996.6666667,AC,LOC,100,95.4,89.37
3075,SOAPBERRY DR,800,301,30,1003.333333,AC,LOC,100,91.9,85.87
2147,SONORA CANYON RD,3100,939,25,2608.333333,AC,RUR,0,24.25,16.87
2148,SONORA CANYON RD,2800,1729,25,4802.777778,AC,RUR,0,48.7,37.15
2110,SOPHIE'S PL,300,260,30,866.6666667,AC,LOC,100,93.6,87.57
2111,SOPHIE'S PL,300,151,30,503.3333333,AC,LOC,100,84.4,70.16
2906,SORREL CT,0,381,30,1270,PC,LOC,100,88.1,82.88
1258,SOUTHLAND ST,400,422,30,1406.666667,AC,LOC,76.7,88.7,80.11
1325,SOUTHLAND ST,600,332,30,1106.666667,AC,LOC,100,34.4,27.02
1782,SOUTHLAND ST,0,334,30,1113.333333,AC,LOC,100,11.3,3.92
1495,SOWARD AVE,400,597,30,1990,AC,LOC,100,91,84.97
1497,SOWARD AVE,600,448,30,1493.333333,AC,LOC,100,30,22.62
1500,SOWARD AVE,300,578,30,1926.666667,AC,LOC,83.4,89.4,82.09
1501,SOWARD AVE,200,353,30,1176.666667,AC,LOC,0,79.5,65.26
1503,SOWARD AVE,100,601,30,2003.333333,AC,LOC,100,24.9,17.52
1988,SPRING LAKE DR,2200,617,30,2056.666667,AC,LOC,95.2,86.3,73.87
21,SPRING ST,100,229,30,763.3333333,AC,LOC,100,8.3,85.93
128,SPRING ST,200,344,30,1146.666667,AC,LOC,100,27.6,85.93
129,SPRING ST,200,353,30,1176.666667,AC,LOC,100,23.4,85.93
130,SPRING ST,300,550,30,1833.333333,AC,LOC,100,21.9,85.93
131,SPRING ST,400,519,30,1730,AC,LOC,100,15.7,87.1
132,SPRING ST,500,598,30,1993.333333,AC,LOC,100,20.1,87.1
133,SPRING ST,600,420,30,1400,AC,LOC,100,31.7,85.16
134,SPRING ST,700,426,30,1420,AC,LOC,100,19.5,85.16
135,SPRING ST,800,387,30,1290,AC,LOC,100,22.8,85.16
136,SPRING ST,900,294,30,980,AC,LOC,100,27.9,85.16
137,SPRING ST,1200,357,35,1388.333333,AC,COL,100,31.55,83.86
138,SPRING ST,1200,543,35,2111.666667,AC,COL,100,23.4,83.86
139,SPRING ST,1300,304,35,1182.222222,AC,COL,100,64.3,83.86
143,SPRING ST,1000,482,30,1606.666667,AC,LOC,100,25.6,85.16
144,SPRING ST,1100,663,30,2210,AC,LOC,100,19.3,85.16
1430,SPRING ST,100,225,30,750,AC,LOC,100,5.1,0
1431,SPRING ST,100,358,30,1193.333333,AC,LOC,100,27.6,20.22
1436,SPRING ST,200,611,40,2715.555556,AC,ART,100,45.2,31.8
1987,SPRINGWOOD LN,2200,690,30,2300,AC,LOC,100,89.7,82.39
3295,STARWOOD DR,1900,431,30,1436.666667,AC,LOC,100,92.9,86.87
3296,STARWOOD DR,2000,662,30,2206.666667,AC,LOC,100,94,87.97
1318,STATE ST,500,239,30,796.6666667,AC,LOC,100,21.75,14.37
1319,STATE ST,600,650,30,2166.666667,AC,LOC,100,47.25,36.47
1321,STATE ST,700,863,30,2876.666667,AC,LOC,100,83.2,68.96
2912,STETSON DR,0,366,30,1220,PC,LOC,100,87.7,81.62
2913,STETSON DR,0,459,30,1530,PC,LOC,100,81.6,71.72
3328,STETSON DR,0,1176,30,3920,PC,LOC,100,70,61.62
2994,STORY BOOK LN,1000,398,30,1326.666667,AC,LOC,100,94.3,88.27
2035,SUMMER BROOK DR,2300,298,30,993.3333333,AC,LOC,100,88.3,79.71
2036,SUMMER BROOK DR,2200,629,30,2096.666667,AC,LOC,100,85.3,71.59
1579,SWEETWATER DR,0,226,30,753.3333333,AC,LOC,100,84.8,70.56
1580,SWEETWATER DR,300,902,30,3006.666667,AC,LOC,100,89.1,80.51
1591,SWEETWATER DR,100,502,30,1673.333333,AC,LOC,100,86,73.57
1592,SWEETWATER DR,200,322,30,1073.333333,AC,LOC,100,86.5,75.35
2871,SWEETWATER DR,400,287,30,956.6666667,AC,LOC,100,97,90.97
2872,SWEETWATER DR,500,488,30,1626.666667,AC,LOC,100,95.5,89.47
3375,SWEETWATER DR,400,148,30,493.3333333,AC,LOC,100,93.4,87.37
294,SYCAMORE ST,700,413,30,1376.666667,AC,LOC,100,30.6,23.22
1715,SYLVIA ST,800,164,30,546.6666667,AC,LOC,100,56.9,44.58
1716,SYLVIA ST,900,556,30,1853.333333,AC,LOC,100,56.9,44.58
1412,TERESA CT,1000,333,30,1110,AC,LOC,100,82.5,68.26
1270,TERRACE DR,700,313,30,1043.333333,AC,LOC,100,56.9,44.58
1271,TERRACE DR,700,276,30,920,AC,LOC,100,36.5,29.12
1272,TERRACE DR,700,214,30,713.3333333,AC,LOC,100,46.6,35.82
1273,TERRACE DR,800,144,30,480,AC,LOC,100,29.3,21.92
1274,TERRACE DR,800,383,30,1276.666667,AC,LOC,100,36.8,29.42
1713,TERRY TR,800,171,30,570,AC,LOC,100,73.65,60.01
1714,TERRY TR,900,540,30,1800,AC,LOC,62.7,74.25,60.61
1802,TERRY TR,0,597,30,1990,AC,LOC,100,84.15,69.91
1409,TEXAS DR,1500,1473,35,5728.333333,AC,COL,100,82.2,66.16
1419,TEXAS DR,0,487,35,1893.888889,AC,COL,100,88.7,77.27
1420,TEXAS DR,0,368,35,1431.111111,AC,COL,100,87.5,74.72
1422,TEXAS DR,0,773,35,3006.111111,AC,COL,99.6,84.5,68.46
435,THIRD ST,100,514,30,1713.333333,AC,LOC,100,43.7,86.9
443,THIRD ST,200,517,30,1723.333333,AC,LOC,3.8,73.3,86.9
446,THIRD ST,300,478,30,1593.333333,AC,LOC,0,55.1,86.9
1871,THIRD ST,600,347,30,1156.666667,AC,LOC,71.2,86,73.57
1872,THIRD ST,700,603,30,2010,AC,LOC,35.5,92.7,86.67
1876,THIRD ST,900,170,30,566.6666667,AC,LOC,0,60.3,47.98
1885,THIRD ST,500,293,30,976.6666667,AC,LOC,100,82.3,68.06
1886,THIRD ST,0,75,30,250,AC,LOC,100,83,68.76
1887,THIRD ST,400,269,30,896.6666667,AC,LOC,0,85.3,71.59
1888,THIRD ST,400,373,30,1243.333333,AC,LOC,63.2,64.5,52.18
1891,THIRD ST,200,510,30,1700,AC,LOC,66.7,58.7,46.38
1892,THIRD ST,300,431,30,1436.666667,AC,LOC,61.9,87.3,77.43
1893,THIRD ST,100,611,30,2036.666667,AC,LOC,100,80.2,65.96
2965,THIRD ST,800,350,30,1166.666667,AC,LOC,100,92.9,86.87
2966,THIRD ST,800,512,30,1706.666667,AC,LOC,19,79.1,64.86
1701,THOUSAND OAKS CR,100,206,30,686.6666667,AC,LOC,100,77.9,63.66
1505,THROCKMORTON ST,100,601,30,2003.333333,AC,LOC,100,63.2,50.88
1506,THROCKMORTON ST,200,344,30,1146.666667,AC,LOC,100,16.2,8.82
1530,THROCKMORTON ST,300,588,30,1960,AC,LOC,100,19.6,12.22
1532,THROCKMORTON ST,400,633,30,2110,AC,LOC,93.8,38.2,30.82
565,THRUSH AVE,100,1501,30,5003.333333,AC,LOC,100,30.3,22.92
339,TIFFANY TRL,100,762,30,2540,AC,LOC,100,89.2,81.89
2128,TIMAARON CT,100,689,25,1913.888889,AC,RUR,100,87.2,76.05
2027,TIMBER COVE CT,2000,454,30,1513.333333,AC,LOC,100,87.1,75.95
2028,TIMBER COVE CT,2100,725,30,2416.666667,AC,LOC,100,92.8,86.77
2032,TIMBER COVE DR,2200,345,30,1150,AC,LOC,100,88.4,79.81
2033,TIMBER COVE DR,2300,434,30,1446.666667,AC,LOC,100,94.5,88.47
2034,TIMBER COVE DR,2400,521,30,1736.666667,AC,LOC,100,92.2,86.17
1696,TIMBER CREEK DR,1300,1155,30,3850,AC,LOC,100,88.2,78.33
1697,TIMBER CREEK DR,1200,379,30,1263.333333,AC,LOC,100,83.8,69.56
1698,TIMBER CREEK DR,1100,411,30,1370,AC,LOC,100,90.2,84.17
1699,TIMBER CREEK DR,1100,166,30,553.3333333,AC,LOC,100,84.9,70.66
1700,TIMBER CREEK DR,1100,273,30,910,AC,LOC,100,89.3,81.99
1703,TIMBER CREEK DR,1100,330,30,1100,AC,LOC,100,91.1,85.07
2264,TIMBER TR,200,1378,25,3827.777778,AC,RUR,0,42.7,34.23
410,TIN TOP RD,2000,1924,35,7482.222222,AC,COL,29.9,58.4,43.83
411,TIN TOP RD,1900,768,35,2986.666667,AC,COL,0,31.5,23.48
412,TIN TOP RD,1800,728,35,2831.111111,AC,COL,13.8,30.7,22.68
518,TIN TOP RD,0,106,35,412.2222222,PC,COL,100,88.6,82.72
519,TIN TOP RD,0,69,35,268.3333333,AC,COL,55.6,90.85,82.12
521,TIN TOP RD,2200,893,40,3968.888889,AC,ART,0,85.4,64.8
639,TIN TOP RD,2300,237,40,1053.333333,AC,ART,0,88.2,71.26
1575,TOWER ST,200,709,30,2363.333333,AC,LOC,100,28.7,21.32
1577,TOWER ST,100,398,30,1326.666667,AC,LOC,100,30,22.62
1747,TRACE RIDGE DR,2300,855,30,2850,AC,LOC,100,89.5,82.19
1748,TRACE RIDGE DR,2100,1080,30,3600,AC,LOC,100,91,84.97
3170,TRACE RIDGE DR,2100,391,30,1303.333333,AC,LOC,100,92.7,86.67
3171,TRACE RIDGE DR,2100,79,30,263.3333333,AC,LOC,100,83.1,68.86
3270,TRACE RIDGE DR,0,984,30,3280,AC,LOC,100,93,86.97
1555,TREMONT ST,800,246,30,820,AC,LOC,21.1,44.3,35.06
1557,TREMONT ST,900,452,30,1506.666667,AC,LOC,100,43.5,34.26
1560,TREMONT ST,0,138,35,536.6666667,AC,COL,100,63.3,48.73
2964,TREMONT ST,1000,363,30,1210,AC,LOC,100,86.8,75.65
296,TRENTON ST,700,416,30,1386.666667,AC,LOC,100,18.3,10.92
398,TRENTON ST,800,407,30,1356.666667,AC,LOC,75.6,8.2,0.82
1432,TRINITY ST,100,354,30,1180,AC,LOC,100,26.3,18.92
1433,TRINITY ST,100,223,30,743.3333333,AC,LOC,100,83.2,68.96
1434,TRINITY ST,200,353,30,1176.666667,AC,LOC,100,42.4,33.93
1268,TROY ST,1300,496,30,1653.333333,AC,LOC,100,89,80.41
2189,UTOPIA TR,200,511,30,1703.333333,AC,LOC,100,85.65,73.22
553,VALLEY CIR,100,187,30,623.3333333,AC,LOC,100,21.4,14.02
1752,VALLEY DR,2100,217,30,723.3333333,AC,LOC,100,86.5,75.35
1753,VALLEY DR,2100,170,30,566.6666667,AC,LOC,100,84.7,70.46
2818,VALLEY LN,200,1268,25,3522.222222,AC,RUR,0,11.1,3.72
2819,VALLEY LN,100,757,25,2102.777778,AC,RUR,0,24.05,16.67
2253,VALLEY RANCH RD,200,586,25,1627.777778,AC,RUR,0,7.8,0.42
2254,VALLEY RANCH RD,200,135,25,375,AC,RUR,0,7.8,0.42
2256,VALLEY RANCH RD,200,550,25,1527.777778,AC,RUR,0,11.4,4.02
2257,VALLEY RANCH RD,200,709,25,1969.444444,AC,RUR,0,16.1,8.72
2258,VALLEY RANCH RD,200,442,25,1227.777778,AC,RUR,0,22.7,15.32
2260,VALLEY RANCH RD,200,659,25,1830.555556,AC,RUR,0,41.9,33.43
1544,VAN WINKLE ST,900,460,30,1533.333333,AC,LOC,100,37.8,30.42
1552,VAN WINKLE ST,800,215,30,716.6666667,AC,LOC,0,30.5,23.12
1873,VAN WINKLE ST,1200,255,30,850,AC,LOC,100,26.8,19.42
1874,VAN WINKLE ST,1200,276,30,920,AC,LOC,100,46.2,36.19
1881,VAN WINKLE ST,1000,499,30,1663.333333,AC,LOC,57.3,77.6,63.36
712,VIGORTONE DR,1000,628,30,2093.333333,AC,LOC,100,90.8,84.77
65,VINE ST,400,728,30,2426.666667,AC,LOC,37.5,59.5,47.18
66,VINE ST,500,424,30,1413.333333,AC,LOC,0,52.7,40.38
67,VINE ST,600,433,30,1443.333333,AC,LOC,0,37.4,30.02
68,VINE ST,700,423,30,1410,AC,LOC,100,37.5,30.12
69,VINE ST,800,70,30,233.3333333,AC,LOC,100,47.9,37.12
70,VINE ST,800,327,30,1090,AC,LOC,0,36,28.62
71,VINE ST,1100,384,30,1280,AC,LOC,0,84.7,85.1
168,VINE ST,1200,1178,35,4581.111111,AC,COL,0,26.7,18.68
172,VINE ST,900,224,30,746.6666667,AC,LOC,33.3,40.1,85.1
173,VINE ST,1000,250,30,833.3333333,AC,LOC,0,60.7,85.1
506,VINE ST,1300,972,35,3780,AC,COL,0,30.8,22.78
507,VINE ST,1400,1951,35,7587.222222,AC,COL,0,85.2,69.72
671,VINE ST,800,126,30,420,AC,LOC,100,30.3,22.92
525,VIVIENNE ST,1200,948,30,3160,AC,LOC,100,40.7,33
548,VIVIENNE ST,1100,546,30,1820,AC,LOC,100,25.8,18.42
72,WACO ST,200,348,30,1160,AC,LOC,100,84.4,70.16
116,WACO ST,100,350,30,1166.666667,AC,LOC,100,55.4,43.08
117,WACO ST,100,227,30,756.6666667,AC,LOC,85.7,28.9,21.52
236,WACO ST,100,226,30,753.3333333,AC,LOC,100,21.9,14.52
237,WACO ST,100,353,30,1176.666667,AC,LOC,100,32.3,24.92
238,WACO ST,200,350,35,1361.111111,AC,COL,100,27.7,19.68
239,WACO ST,300,638,35,2481.111111,AC,COL,100,28.7,20.68
240,WACO ST,400,366,35,1423.333333,AC,COL,100,18.8,10.78
242,WACO ST,500,296,35,1151.111111,AC,COL,100,20.9,12.88
243,WACO ST,600,239,35,929.4444444,AC,COL,100,20,11.98
244,WACO ST,700,276,35,1073.333333,AC,COL,100,31.9,23.88
